Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date,Neighborhoods_from_gw34_aa8i,Neighborhoods_from_5jp5_kw3x,New Neighborhoods_from_s3dq_ztay,layer_0_from_mgnu_zr5s,layer_0_from_yr99_sgmi,LA Neighborhoods_from_5ikr_59ci,City Boundaries_from_22pk_kkuz,Los Angeles Incorporated Cities,la_county_tracts_from_jczq_z5ui,DPW_CITY_BOUNDARIES_from_dmu2_xaer,Neighborhoods_from_9utn_waje_1,LA County Regions Map,Los Angeles Neighborhood Map,Regions_from_qspe_35qg,Census Tracts_from_jczq_z5ui,Neighborhoods_from_9utn_waje
Health,Asthma,Asthma-Related ER Visits,2014,41.213875,"Census Tract 4036, Los Angeles County, California",403600,Ramona,1400000US06037403600,"(34.075307, -117.8590715)",Asthma_Related_ER_Visits_2014_1400000US06037403600,01/01/2014,26,26,25,25,25,181,,,1610,332,188,10,188,10,1610,188
Health,Asthma,Asthma-Related ER Visits,2014,36.812132,"Census Tract 3021.02, Los Angeles County, California",302102,Glassell Park,1400000US06037302102,"(34.133249, -118.23492)",Asthma_Related_ER_Visits_2014_1400000US06037302102,01/01/2014,173,173,174,171,178,85,76,76,2340,305,89,6,89,6,2340,89
Health,Asthma,Asthma-Related ER Visits,2014,34.82119,"Census Tract 1815, Los Angeles County, California",181500,Eagle Rock,1400000US06037181500,"(34.133864, -118.1922815)",Asthma_Related_ER_Visits_2014_1400000US06037181500,01/01/2014,149,149,157,154,154,65,76,76,1593,305,68,6,68,6,1593,68
Health,Asthma,Asthma-Related ER Visits,2014,98.80623199999999,"Census Tract 2349.02, Los Angeles County, California",234902,Hyde Park,1400000US06037234902,"(33.981753, -118.3346945)",Asthma_Related_ER_Visits_2014_1400000US06037234902,01/01/2014,82,72,89,88,88,110,76,76,218,305,117,12,117,12,218,117
Health,Asthma,Asthma-Related ER Visits,2014,38.803002,"Census Tract 2086.10, Los Angeles County, California",208610,Westlake,1400000US06037208610,"(34.071928, -118.280946)",Asthma_Related_ER_Visits_2014_1400000US06037208610,01/01/2014,166,166,167,164,170,258,76,76,468,305,258,3,258,3,468,258
Health,Asthma,Asthma-Related ER Visits,2014,53.96,"Census Tract 2962.20, Los Angeles County, California",296220,San Pedro,1400000US06037296220,"(33.74101, -118.2837425)",Asthma_Related_ER_Visits_2014_1400000US06037296220,01/01/2014,20,20,19,19,19,199,76,76,250,305,207,5,207,5,250,207
Health,Asthma,Asthma-Related ER Visits,2014,20.145663,"Census Tract 1944.01, Los Angeles County, California",194401,Beverly Grove,1400000US06037194401,"(34.08455, -118.3641455)",Asthma_Related_ER_Visits_2014_1400000US06037194401,01/01/2014,39,39,39,38,38,28,76,76,432,305,27,3,27,3,432,27
Health,Asthma,Asthma-Related ER Visits,2014,43.220008,"Census Tract 4052.03, Los Angeles County, California",405203,Baldwin Park,1400000US06037405203,"(34.076437, -117.956923)",Asthma_Related_ER_Visits_2014_1400000US06037405203,01/01/2014,69,70,69,68,68,20,70,70,315,331,20,10,20,10,315,20
Health,Asthma,Asthma-Related ER Visits,2014,16.376533,"Census Tract 2611.01, Los Angeles County, California",261101,Beverly Hills,1400000US06037261101,"(34.110602, -118.395214)",Asthma_Related_ER_Visits_2014_1400000US06037261101,01/01/2014,109,111,112,109,111,29,31,31,952,264,30,16,30,16,952,30
Health,Asthma,Asthma-Related ER Visits,2014,12.181133,"Census Tract 2627.06, Los Angeles County, California",262706,Pacific Palisades,1400000US06037262706,"(34.03867557, -118.5269907)",Asthma_Related_ER_Visits_2014_1400000US06037262706,01/01/2014,207,207,207,211,211,166,76,76,1234,305,171,16,171,16,1234,171
Health,Asthma,Asthma-Related ER Visits,2014,61.58,"Census Tract 5316.02, Los Angeles County, California",531602,East Los Angeles,1400000US06037531602,"(34.018128, -118.1643695)",Asthma_Related_ER_Visits_2014_1400000US06037531602,01/01/2014,43,43,42,41,41,69,,,1964,220,73,4,73,4,1964,73
Health,Asthma,Asthma-Related ER Visits,2014,41.552964,"Census Tract 1241.05, Los Angeles County, California",124105,North Hollywood,1400000US06037124105,"(34.181229, -118.383405)",Asthma_Related_ER_Visits_2014_1400000US06037124105,01/01/2014,112,114,115,112,114,160,76,76,534,305,166,9,166,9,534,166
Health,Asthma,Asthma-Related ER Visits,2014,61.11,"Census Tract 1201.05, Los Angeles County, California",120105,Panorama City,1400000US06037120105,"(34.2300875, -118.444443)",Asthma_Related_ER_Visits_2014_1400000US06037120105,01/01/2014,179,179,179,177,183,172,76,76,29,305,174,9,174,9,29,174
Health,Asthma,Asthma-Related ER Visits,2014,34.402759,"Census Tract 3116, Los Angeles County, California",311600,Burbank,1400000US06037311600,"(34.152186, -118.3385765)",Asthma_Related_ER_Visits_2014_1400000US06037311600,01/01/2014,182,182,181,181,185,33,36,36,1497,266,28,9,28,9,1497,28
Health,Asthma,Asthma-Related ER Visits,2014,44.327607,"Census Tract 5715.02, Los Angeles County, California",571502,Long Beach,1400000US06037571502,"(33.841848, -118.1845175)",Asthma_Related_ER_Visits_2014_1400000US06037571502,01/01/2014,10,10,10,10,10,137,49,49,904,280,144,5,144,5,904,144
Health,Asthma,Asthma-Related ER Visits,2014,50.736956,"Census Tract 5313.02, Los Angeles County, California",531302,East Los Angeles,1400000US06037531302,"(34.015861, -118.1840735)",Asthma_Related_ER_Visits_2014_1400000US06037531302,01/01/2014,43,43,42,41,41,69,,,1692,220,73,4,73,4,1692,73
Health,Asthma,Asthma-Related ER Visits,2014,121.594197,"Census Tract 2379, Los Angeles County, California",237900,Manchester Square,1400000US06037237900,"(33.970932, -118.311186)",Asthma_Related_ER_Visits_2014_1400000US06037237900,01/01/2014,106,107,104,73,108,144,76,76,222,305,149,12,149,12,222,149
Health,Asthma,Asthma-Related ER Visits,2014,48.06,"Census Tract 5519, Los Angeles County, California",551900,Norwalk,1400000US06037551900,"(33.9095205, -118.105257)",Asthma_Related_ER_Visits_2014_1400000US06037551900,01/01/2014,12,12,33,32,32,165,60,60,1727,309,170,14,170,14,1727,170
Health,Asthma,Asthma-Related ER Visits,2014,25.807634,"Census Tract 5545.17, Los Angeles County, California",554517,Cerritos,1400000US06037554517,"(33.8625445, -118.054959)",Asthma_Related_ER_Visits_2014_1400000US06037554517,01/01/2014,243,243,243,238,244,43,59,59,853,308,45,14,45,14,853,45
Health,Asthma,Asthma-Related ER Visits,2014,54.97,"Census Tract 1065.20, Los Angeles County, California",106520,Sylmar,1400000US06037106520,"(34.308856, -118.4613605)",Asthma_Related_ER_Visits_2014_1400000US06037106520,01/01/2014,56,56,56,55,55,224,76,76,1215,305,224,9,224,9,1215,224
Health,Asthma,Asthma-Related ER Visits,2014,51.586236,"Census Tract 2049.10, Los Angeles County, California",204910,Boyle Heights,1400000US06037204910,"(34.0250545, -118.1964135)",Asthma_Related_ER_Visits_2014_1400000US06037204910,01/01/2014,73,76,75,74,74,21,76,76,67,305,32,4,32,4,67,32
Health,Asthma,Asthma-Related ER Visits,2014,51.53,"Census Tract 2284.10, Los Angeles County, California",228410,Historic South-Central,1400000US06037228410,"(34.014163, -118.2690345)",Asthma_Related_ER_Visits_2014_1400000US06037228410,01/01/2014,99,100,102,100,100,55,76,76,368,305,112,12,112,12,368,112
Health,Asthma,Asthma-Related ER Visits,2014,39.76,"Census Tract 2088.01, Los Angeles County, California",208801,Westlake,1400000US06037208801,"(34.0602215, -118.276593)",Asthma_Related_ER_Visits_2014_1400000US06037208801,01/01/2014,166,166,167,164,170,258,76,76,71,305,258,3,258,3,71,258
Health,Asthma,Asthma-Related ER Visits,2014,20.775286,"Census Tract 3012.06, Los Angeles County, California",301206,Glendale,1400000US06037301206,"(34.1633575, -118.2727315)",Asthma_Related_ER_Visits_2014_1400000US06037301206,01/01/2014,214,214,216,220,220,86,38,38,1469,15,92,15,92,15,1469,92
Health,Asthma,Asthma-Related ER Visits,2014,50.151659,"Census Tract 5536.02, Los Angeles County, California",553602,Paramount,1400000US06037553602,"(33.9088955, -118.1644655)",Asthma_Related_ER_Visits_2014_1400000US06037553602,01/01/2014,255,255,255,256,256,173,51,51,595,284,178,14,178,14,595,178
Health,Asthma,Asthma-Related ER Visits,2014,40.65,"Census Tract 2112.02, Los Angeles County, California",211202,Koreatown,1400000US06037211202,"(34.074526, -118.2941155)",Asthma_Related_ER_Visits_2014_1400000US06037211202,01/01/2014,188,188,187,185,191,115,76,76,1881,305,29,3,29,3,1881,29
Health,Asthma,Asthma-Related ER Visits,2014,12.32,"Census Tract 2656.02, Los Angeles County, California",265602,Westwood,1400000US06037265602,"(34.060621, -118.434347)",Asthma_Related_ER_Visits_2014_1400000US06037265602,01/01/2014,111,113,114,111,113,265,76,76,237,305,265,16,265,16,237,265
Health,Asthma,Asthma-Related ER Visits,2014,40.517969,"Census Tract 2227, Los Angeles County, California",222700,University Park,1400000US06037222700,"(34.020537, -118.2847645)",Asthma_Related_ER_Visits_2014_1400000US06037222700,01/01/2014,87,82,94,67,93,234,76,76,82,305,238,12,238,12,82,238
Health,Asthma,Asthma-Related ER Visits,2014,33.13,"Census Tract 5039.02, Los Angeles County, California",503902,La Mirada,1400000US06037503902,"(33.887924, -118.015935)",Asthma_Related_ER_Visits_2014_1400000US06037503902,01/01/2014,154,154,153,150,146,124,82,82,576,310,57,14,57,14,576,57
Health,Asthma,Asthma-Related ER Visits,2014,18.5,"Census Tract 1081.04, Los Angeles County, California",108104,Porter Ranch,1400000US06037108104,"(34.2939525, -118.5470515)",Asthma_Related_ER_Visits_2014_1400000US06037108104,01/01/2014,230,230,230,232,231,179,76,76,2314,305,185,9,185,9,2314,185
Health,Asthma,Asthma-Related ER Visits,2014,39.993999,"Census Tract 5337.03, Los Angeles County, California",533703,Maywood,1400000US06037533703,"(33.984506, -118.1733515)",Asthma_Related_ER_Visits_2014_1400000US06037533703,01/01/2014,47,47,47,46,46,132,27,27,1952,256,153,14,153,14,1952,153
Health,Asthma,Asthma-Related ER Visits,2014,26.915834,"Census Tract 2168, Los Angeles County, California",216800,Carthay,1400000US06037216800,"(34.055507, -118.369996)",Asthma_Related_ER_Visits_2014_1400000US06037216800,01/01/2014,55,55,55,54,54,37,76,76,2292,305,39,3,39,3,2292,39
Health,Asthma,Asthma-Related ER Visits,2014,36.358862,"Census Tract 3024.01, Los Angeles County, California",302401,Glendale,1400000US06037302401,"(34.1301145, -118.2615235)",Asthma_Related_ER_Visits_2014_1400000US06037302401,01/01/2014,214,214,216,220,220,86,38,38,1475,15,92,15,92,15,1475,92
Health,Asthma,Asthma-Related ER Visits,2014,32.635728,"Census Tract 1351.02, Los Angeles County, California",135102,West Hills,1400000US06037135102,"(34.188713, -118.6189975)",Asthma_Related_ER_Visits_2014_1400000US06037135102,01/01/2014,248,248,248,246,247,256,76,76,2168,305,256,9,256,9,2168,256
Health,Asthma,Asthma-Related ER Visits,2014,54.97,"Census Tract 1041.24, Los Angeles County, California",104124,Lopez/Kagel Canyons,1400000US06037104124,"(34.287866, -118.376208)",Asthma_Related_ER_Visits_2014_1400000US06037104124,01/01/2014,235,235,235,235,236,139,,,2215,221,145,1,145,1,2215,145
Health,Asthma,Asthma-Related ER Visits,2014,48.778484,"Census Tract 4006.04, Los Angeles County, California",400604,Azusa,1400000US06037400604,"(34.148685, -117.891244)",Asthma_Related_ER_Visits_2014_1400000US06037400604,01/01/2014,77,79,79,78,78,18,13,13,113,230,17,10,17,10,113,17
Health,Asthma,Asthma-Related ER Visits,2014,22.366301,"Census Tract 2693, Los Angeles County, California",269300,Cheviot Hills,1400000US06037269300,"(34.0402885, -118.414036)",Asthma_Related_ER_Visits_2014_1400000US06037269300,01/01/2014,121,121,123,121,123,17,76,76,888,305,49,16,49,16,888,49
Health,Asthma,Asthma-Related ER Visits,2014,51.768378,"Census Tract 2270.10, Los Angeles County, California",227010,Central-Alameda,1400000US06037227010,"(34.018875, -118.247064)",Asthma_Related_ER_Visits_2014_1400000US06037227010,01/01/2014,241,241,241,242,241,40,76,76,1209,305,43,12,43,12,1209,43
Health,Asthma,Asthma-Related ER Visits,2014,33.899756,"Census Tract 1344.22, Los Angeles County, California",134422,West Hills,1400000US06037134422,"(34.203569, -118.630125)",Asthma_Related_ER_Visits_2014_1400000US06037134422,01/01/2014,248,248,248,246,247,256,76,76,1558,305,256,9,256,9,1558,256
Health,Asthma,Asthma-Related ER Visits,2014,38.471111,"Census Tract 5342.03, Los Angeles County, California",534203,Bell Gardens,1400000US06037534203,"(33.956936, -118.154162)",Asthma_Related_ER_Visits_2014_1400000US06037534203,01/01/2014,184,184,183,183,187,24,24,24,1953,252,23,14,23,14,1953,23
Health,Asthma,Asthma-Related ER Visits,2014,48.88,"Census Tract 4042.01, Los Angeles County, California",404201,Azusa,1400000US06037404201,"(34.127422, -117.8950465)",Asthma_Related_ER_Visits_2014_1400000US06037404201,01/01/2014,77,79,79,78,78,18,13,13,1171,230,17,10,17,10,1171,17
Health,Asthma,Asthma-Related ER Visits,2014,35.317881,"Census Tract 4080.04, Los Angeles County, California",408004,West Covina,1400000US06037408004,"(34.037498, -117.915708)",Asthma_Related_ER_Visits_2014_1400000US06037408004,01/01/2014,211,211,212,216,217,255,64,64,7,322,255,10,255,10,7,255
Health,Asthma,Asthma-Related ER Visits,2014,61.041242,"Census Tract 1204, Los Angeles County, California",120400,Panorama City,1400000US06037120400,"(34.2178505, -118.4330175)",Asthma_Related_ER_Visits_2014_1400000US06037120400,01/01/2014,179,179,179,177,183,172,76,76,766,305,174,9,174,9,766,174
Health,Asthma,Asthma-Related ER Visits,2014,44.147284,"Census Tract 5515.01, Los Angeles County, California",551501,Downey,1400000US06037551501,"(33.935499, -118.1570615)",Asthma_Related_ER_Visits_2014_1400000US06037551501,01/01/2014,200,200,201,202,204,61,84,84,1764,296,65,14,65,14,1764,65
Health,Asthma,Asthma-Related ER Visits,2014,19.987247,"Census Tract 4805, Los Angeles County, California",480500,South Pasadena,1400000US06037480500,"(34.1074225, -118.14498)",Asthma_Related_ER_Visits_2014_1400000US06037480500,01/01/2014,209,209,209,213,213,216,34,34,1357,257,220,10,220,10,1357,220
Health,Asthma,Asthma-Related ER Visits,2014,53.243341,"Census Tract 2281, Los Angeles County, California",228100,Central-Alameda,1400000US06037228100,"(34.010118, -118.244922)",Asthma_Related_ER_Visits_2014_1400000US06037228100,01/01/2014,241,241,241,242,241,40,76,76,2245,305,43,12,43,12,2245,43
Health,Asthma,Asthma-Related ER Visits,2014,21.880572,"Census Tract 2712, Los Angeles County, California",271200,Sawtelle,1400000US06037271200,"(34.031579, -118.4431825)",Asthma_Related_ER_Visits_2014_1400000US06037271200,01/01/2014,115,83,119,119,121,204,76,76,2249,305,202,16,202,16,2249,202
Health,Asthma,Asthma-Related ER Visits,2014,37.746995,"Census Tract 1902.02, Los Angeles County, California",190202,Hollywood,1400000US06037190202,"(34.1033925, -118.335128)",Asthma_Related_ER_Visits_2014_1400000US06037190202,01/01/2014,239,239,239,240,239,108,76,76,540,305,115,3,115,3,540,115
Health,Asthma,Asthma-Related ER Visits,2014,33.215022,"Census Tract 2964.02, Los Angeles County, California",296402,San Pedro,1400000US06037296402,"(33.7455135, -118.303183)",Asthma_Related_ER_Visits_2014_1400000US06037296402,01/01/2014,20,20,19,19,19,199,76,76,2334,305,207,5,207,5,2334,207
Health,Asthma,Asthma-Related ER Visits,2014,27.89,"Census Tract 1132.37, Los Angeles County, California",113237,Chatsworth,1400000US06037113237,"(34.2451855, -118.6125745)",Asthma_Related_ER_Visits_2014_1400000US06037113237,01/01/2014,164,164,165,162,168,45,76,76,1237,305,41,9,41,9,1237,41
Health,Asthma,Asthma-Related ER Visits,2014,40.080125,"Census Tract 5323.04, Los Angeles County, California",532304,Commerce,1400000US06037532304,"(33.985628, -118.152339)",Asthma_Related_ER_Visits_2014_1400000US06037532304,01/01/2014,249,249,249,247,250,50,86,86,1102,298,54,14,54,14,1102,54
Health,Asthma,Asthma-Related ER Visits,2014,38.647236,"Census Tract 5340.01, Los Angeles County, California",534001,Bell Gardens,1400000US06037534001,"(33.9676565, -118.147259)",Asthma_Related_ER_Visits_2014_1400000US06037534001,01/01/2014,184,184,183,183,187,24,24,24,1149,252,23,14,23,14,1149,23
Health,Asthma,Asthma-Related ER Visits,2014,32.21,"Census Tract 1398.01, Los Angeles County, California",139801,Tarzana,1400000US06037139801,"(34.153124, -118.5451245)",Asthma_Related_ER_Visits_2014_1400000US06037139801,01/01/2014,49,49,50,49,49,225,76,76,1313,305,229,9,229,9,1313,229
Health,Asthma,Asthma-Related ER Visits,2014,35.557204,"Census Tract 5360, Los Angeles County, California",536000,South Gate,1400000US06037536000,"(33.9555625, -118.1907775)",Asthma_Related_ER_Visits_2014_1400000US06037536000,01/01/2014,244,244,244,244,245,214,22,22,1426,250,218,14,218,14,1426,218
Health,Asthma,Asthma-Related ER Visits,2014,110.478661,"Census Tract 6002.01, Los Angeles County, California",600201,Westmont,1400000US06037600201,"(33.948816, -118.2970355)",Asthma_Related_ER_Visits_2014_1400000US06037600201,01/01/2014,51,51,53,52,52,261,,,1976,38,261,12,261,12,1976,261
Health,Asthma,Asthma-Related ER Visits,2014,43.14,"Census Tract 2943.02, Los Angeles County, California",294302,Wilmington,1400000US06037294302,"(33.7848645, -118.2793115)",Asthma_Related_ER_Visits_2014_1400000US06037294302,01/01/2014,150,150,149,146,147,269,76,76,2234,305,269,5,269,5,2234,269
Health,Asthma,Asthma-Related ER Visits,2014,21.15,"Census Tract 4086.26, Los Angeles County, California",408626,Rowland Heights,1400000US06037408626,"(33.984523, -117.919022)",Asthma_Related_ER_Visits_2014_1400000US06037408626,01/01/2014,231,231,231,233,232,192,,,2063,325,197,10,197,10,2063,197
Health,Asthma,Asthma-Related ER Visits,2014,80.53281699999999,"Census Tract 2323, Los Angeles County, California",232300,Vermont Square,1400000US06037232300,"(33.9975775, -118.29803)",Asthma_Related_ER_Visits_2014_1400000US06037232300,01/01/2014,31,31,44,43,43,243,76,76,1991,305,82,12,82,12,1991,82
Health,Asthma,Asthma-Related ER Visits,2014,41.500684,"Census Tract 4624, Los Angeles County, California",462400,Pasadena,1400000US06037462400,"(34.163408, -118.1263885)",Asthma_Related_ER_Visits_2014_1400000US06037462400,01/01/2014,251,251,252,250,254,175,41,41,1443,159,183,15,183,15,1443,183
Health,Asthma,Asthma-Related ER Visits,2014,62.72,"Census Tract 5541.03, Los Angeles County, California",554103,Bellflower,1400000US06037554103,"(33.899347, -118.1209575)",Asthma_Related_ER_Visits_2014_1400000US06037554103,01/01/2014,215,215,217,221,221,23,58,58,1734,307,22,14,22,14,1734,22
Health,Asthma,Asthma-Related ER Visits,2014,48.260857,"Census Tract 5523.01, Los Angeles County, California",552301,Norwalk,1400000US06037552301,"(33.911254, -118.0643675)",Asthma_Related_ER_Visits_2014_1400000US06037552301,01/01/2014,12,12,33,32,32,165,60,60,1728,309,170,14,170,14,1728,170
Health,Asthma,Asthma-Related ER Visits,2014,36.41786,"Census Tract 4300.03, Los Angeles County, California",430003,Monrovia,1400000US06037430003,"(34.1682255, -117.942383)",Asthma_Related_ER_Visits_2014_1400000US06037430003,01/01/2014,13,13,13,13,13,151,18,18,1040,234,159,10,159,10,1040,159
Health,Asthma,Asthma-Related ER Visits,2014,61.58,"Census Tract 5303.02, Los Angeles County, California",530302,East Los Angeles,1400000US06037530302,"(34.0277915, -118.1481645)",Asthma_Related_ER_Visits_2014_1400000US06037530302,01/01/2014,43,43,42,41,41,69,,,1089,220,73,4,73,4,1089,73
Health,Asthma,Asthma-Related ER Visits,2014,28.287966,"Census Tract 1899.03, Los Angeles County, California",189903,Hollywood,1400000US06037189903,"(34.1026455, -118.34759)",Asthma_Related_ER_Visits_2014_1400000US06037189903,01/01/2014,239,239,239,240,239,108,76,76,425,305,115,3,115,3,425,115
Health,Asthma,Asthma-Related ER Visits,2014,34.76669,"Census Tract 4081.35, Los Angeles County, California",408135,West Covina,1400000US06037408135,"(34.0169595, -117.8983025)",Asthma_Related_ER_Visits_2014_1400000US06037408135,01/01/2014,211,211,212,216,217,255,64,64,990,322,255,10,255,10,990,255
Health,Asthma,Asthma-Related ER Visits,2014,57.84875,"Census Tract 5023.02, Los Angeles County, California",502302,West Whittier-Los Nietos,1400000US06037502302,"(33.965715, -118.069052)",Asthma_Related_ER_Visits_2014_1400000US06037502302,01/01/2014,22,22,21,21,21,264,,,1960,295,264,14,264,14,1960,264
Health,Asthma,Asthma-Related ER Visits,2014,51.78,"Census Tract 1323, Los Angeles County, California",132300,Reseda,1400000US06037132300,"(34.1974585, -118.5273115)",Asthma_Related_ER_Visits_2014_1400000US06037132300,01/01/2014,180,180,30,179,172,186,76,76,2166,305,190,9,190,9,2166,190
Health,Asthma,Asthma-Related ER Visits,2014,52.79185,"Census Tract 4022, Los Angeles County, California",402200,Pomona,1400000US06037402200,"(34.083327, -117.768076)",Asthma_Related_ER_Visits_2014_1400000US06037402200,01/01/2014,48,48,48,47,47,178,66,66,1277,324,184,7,184,7,1277,184
Health,Asthma,Asthma-Related ER Visits,2014,22.328675,"Census Tract 1375.02, Los Angeles County, California",137502,Woodland Hills,1400000US06037137502,"(34.163679, -118.596991)",Asthma_Related_ER_Visits_2014_1400000US06037137502,01/01/2014,259,259,260,261,260,272,76,76,681,305,272,9,272,9,681,272
Health,Asthma,Asthma-Related ER Visits,2014,24.547459,"Census Tract 3007.01, Los Angeles County, California",300701,Glendale,1400000US06037300701,"(34.202483, -118.2588315)",Asthma_Related_ER_Visits_2014_1400000US06037300701,01/01/2014,214,214,216,220,220,86,38,38,1464,15,92,15,92,15,1464,92
Health,Asthma,Asthma-Related ER Visits,2014,34.370806,"Census Tract 5436.03, Los Angeles County, California",543603,West Carson,1400000US06037543603,"(33.805408, -118.2929415)",Asthma_Related_ER_Visits_2014_1400000US06037543603,01/01/2014,163,163,199,200,202,252,,,1711,22,177,5,177,5,1711,177
Health,Asthma,Asthma-Related ER Visits,2014,54.97,"Census Tract 1066.04, Los Angeles County, California",106604,Sylmar,1400000US06037106604,"(34.3042795, -118.474247)",Asthma_Related_ER_Visits_2014_1400000US06037106604,01/01/2014,56,56,56,55,55,224,76,76,741,305,224,9,224,9,741,224
Health,Asthma,Asthma-Related ER Visits,2014,0,"Census Tract 3200, Los Angeles County, California",320000,Universal City,1400000US06037320000,"(34.137367, -118.352786)",Asthma_Related_ER_Visits_2014_1400000US06037320000,01/01/2014,193,193,198,199,201,228,,,915,269,233,9,233,9,915,233
Health,Asthma,Asthma-Related ER Visits,2014,45.924785,"Census Tract 5031.06, Los Angeles County, California",503106,South Whittier,1400000US06037503106,"(33.922533, -118.0218275)",Asthma_Related_ER_Visits_2014_1400000US06037503106,01/01/2014,79,81,81,80,80,219,,,129,292,223,14,223,14,129,223
Health,Asthma,Asthma-Related ER Visits,2014,38.567467,"Census Tract 1092, Los Angeles County, California",109200,Granada Hills,1400000US06037109200,"(34.2786785, -118.474608)",Asthma_Related_ER_Visits_2014_1400000US06037109200,01/01/2014,263,263,257,263,263,89,76,76,722,305,95,9,95,9,722,95
Health,Asthma,Asthma-Related ER Visits,2014,31.617626,"Census Tract 1244, Los Angeles County, California",124400,Valley Glen,1400000US06037124400,"(34.1738495, -118.409707)",Asthma_Related_ER_Visits_2014_1400000US06037124400,01/01/2014,136,136,147,144,159,237,76,76,1630,305,240,9,240,9,1630,240
Health,Asthma,Asthma-Related ER Visits,2014,42.850435,"Census Tract 2213.03, Los Angeles County, California",221303,Harvard Heights,1400000US06037221303,"(34.0453825, -118.308407)",Asthma_Related_ER_Visits_2014_1400000US06037221303,01/01/2014,242,242,242,243,242,98,76,76,510,305,102,3,102,3,510,102
Health,Asthma,Asthma-Related ER Visits,2014,62.540797,"Census Tract 5544.05, Los Angeles County, California",554405,Bellflower,1400000US06037554405,"(33.8737165, -118.121205)",Asthma_Related_ER_Visits_2014_1400000US06037554405,01/01/2014,215,215,217,221,221,23,58,58,850,307,22,14,22,14,850,22
Health,Asthma,Asthma-Related ER Visits,2014,41.61,"Census Tract 5438.01, Los Angeles County, California",543801,Carson,1400000US06037543801,"(33.8424445, -118.271881)",Asthma_Related_ER_Visits_2014_1400000US06037543801,01/01/2014,57,57,58,57,57,36,50,50,1713,281,38,5,38,5,1713,38
Health,Asthma,Asthma-Related ER Visits,2014,24.501818,"Census Tract 4819.02, Los Angeles County, California",481902,Alhambra,1400000US06037481902,"(34.065728, -118.152909)",Asthma_Related_ER_Visits_2014_1400000US06037481902,01/01/2014,160,160,162,160,165,5,30,30,639,263,5,10,5,10,639,5
Health,Asthma,Asthma-Related ER Visits,2014,35.888229,"Census Tract 5552.02, Los Angeles County, California",555202,Long Beach,1400000US06037555202,"(33.8213105, -118.0725155)",Asthma_Related_ER_Visits_2014_1400000US06037555202,01/01/2014,10,10,10,10,10,137,49,49,2136,280,144,5,144,5,2136,144
Health,Asthma,Asthma-Related ER Visits,2014,26.935719,"Census Tract 4321.02, Los Angeles County, California",432102,Temple City,1400000US06037432102,"(34.0920835, -118.0583895)",Asthma_Related_ER_Visits_2014_1400000US06037432102,01/01/2014,78,80,80,79,79,226,8,8,634,218,230,10,230,10,634,230
Health,Asthma,Asthma-Related ER Visits,2014,33.984703,"Census Tract 5001, Los Angeles County, California",500100,La Habra Heights,1400000US06037500100,"(33.960283, -117.9408845)",Asthma_Related_ER_Visits_2014_1400000US06037500100,01/01/2014,103,104,108,105,105,116,83,83,999,293,126,10,126,10,999,126
Health,Asthma,Asthma-Related ER Visits,2014,34.98,"Census Tract 5356.05, Los Angeles County, California",535605,South Gate,1400000US06037535605,"(33.948773, -118.2165205)",Asthma_Related_ER_Visits_2014_1400000US06037535605,01/01/2014,244,244,244,244,245,214,22,22,267,250,218,14,218,14,267,218
Health,Asthma,Asthma-Related ER Visits,2014,50.536692,"Census Tract 1233.01, Los Angeles County, California",123301,North Hollywood,1400000US06037123301,"(34.199392, -118.401141)",Asthma_Related_ER_Visits_2014_1400000US06037123301,01/01/2014,112,114,115,112,114,160,76,76,1582,305,166,9,166,9,1582,166
Health,Asthma,Asthma-Related ER Visits,2014,102.2,"Census Tract 2396.02, Los Angeles County, California",239602,Florence,1400000US06037239602,"(33.9695945, -118.2751195)",Asthma_Related_ER_Visits_2014_1400000US06037239602,01/01/2014,59,59,60,59,59,83,76,76,2122,305,87,12,87,12,2122,87
Health,Asthma,Asthma-Related ER Visits,2014,42.849434,"Census Tract 1235.10, Los Angeles County, California",123510,Valley Glen,1400000US06037123510,"(34.195752, -118.4268885)",Asthma_Related_ER_Visits_2014_1400000US06037123510,01/01/2014,136,136,147,144,159,237,76,76,773,305,240,9,240,9,773,240
Health,Asthma,Asthma-Related ER Visits,2014,24.832079,"Census Tract 1412.01, Los Angeles County, California",141201,Sherman Oaks,1400000US06037141201,"(34.1528925, -118.442632)",Asthma_Related_ER_Visits_2014_1400000US06037141201,01/01/2014,264,264,264,264,264,206,76,76,1136,305,211,9,211,9,1136,211
Health,Asthma,Asthma-Related ER Visits,2014,38.590242,"Census Tract 4057.02, Los Angeles County, California",405702,Covina,1400000US06037405702,"(34.092311, -117.9121105)",Asthma_Related_ER_Visits_2014_1400000US06037405702,01/01/2014,4,4,4,4,4,56,42,42,1177,271,58,10,58,10,1177,58
Health,Asthma,Asthma-Related ER Visits,2014,32.821824,"Census Tract 4056, Los Angeles County, California",405600,West Covina,1400000US06037405600,"(34.080479, -117.9164905)",Asthma_Related_ER_Visits_2014_1400000US06037405600,01/01/2014,211,211,212,216,217,255,64,64,1649,322,255,10,255,10,1649,255
